phase	dataset	seed	status	start	end	duration_sec	log	results_json	params
dino_visual_only	cub200	10	OK	2026-05-10 14:23:03 +06	2026-05-10 14:27:24 +06	261	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed10.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed10_20260510-142306/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	11	OK	2026-05-10 14:27:24 +06	2026-05-10 14:29:35 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed11.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed11_20260510-142727/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	11	OK	2026-05-10 14:29:35 +06	2026-05-10 14:37:36 +06	481	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed11.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed11_20260510-142939/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	11	OK	2026-05-10 14:37:36 +06	2026-05-10 14:39:48 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed11.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed11_20260510-143739/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	11	OK	2026-05-10 14:39:48 +06	2026-05-10 14:47:52 +06	484	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed11.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed11_20260510-143951/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	11	OK	2026-05-10 14:47:52 +06	2026-05-10 14:49:12 +06	80	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed11.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed11_20260510-144755/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	11	OK	2026-05-10 14:49:12 +06	2026-05-10 14:53:33 +06	261	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed11.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed11_20260510-144915/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	12	OK	2026-05-10 14:53:33 +06	2026-05-10 14:55:44 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed12.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed12_20260510-145336/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	12	OK	2026-05-10 14:55:44 +06	2026-05-10 15:03:47 +06	483	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed12.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed12_20260510-145548/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	12	OK	2026-05-10 15:03:47 +06	2026-05-10 15:05:58 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed12.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed12_20260510-150349/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	12	OK	2026-05-10 15:05:58 +06	2026-05-10 15:14:03 +06	485	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed12.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed12_20260510-150601/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	12	OK	2026-05-10 15:14:03 +06	2026-05-10 15:15:22 +06	79	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed12.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed12_20260510-151405/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	12	OK	2026-05-10 15:15:22 +06	2026-05-10 15:19:43 +06	261	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed12.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed12_20260510-151525/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	13	OK	2026-05-10 15:19:43 +06	2026-05-10 15:21:54 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed13.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed13_20260510-151946/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	13	OK	2026-05-10 15:21:54 +06	2026-05-10 15:29:56 +06	482	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed13.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed13_20260510-152158/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	13	OK	2026-05-10 15:29:56 +06	2026-05-10 15:32:08 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed13.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed13_20260510-152959/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	13	OK	2026-05-10 15:32:08 +06	2026-05-10 15:40:13 +06	485	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed13.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed13_20260510-153211/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	13	OK	2026-05-10 15:40:13 +06	2026-05-10 15:41:33 +06	80	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed13.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed13_20260510-154015/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	13	OK	2026-05-10 15:41:33 +06	2026-05-10 15:45:54 +06	261	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed13.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed13_20260510-154136/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	14	OK	2026-05-10 15:45:54 +06	2026-05-10 15:48:06 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed14.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed14_20260510-154558/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	14	OK	2026-05-10 15:48:06 +06	2026-05-10 15:56:08 +06	482	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed14.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed14_20260510-154810/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	14	OK	2026-05-10 15:56:08 +06	2026-05-10 15:58:20 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed14.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed14_20260510-155611/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	14	OK	2026-05-10 15:58:20 +06	2026-05-10 16:06:25 +06	485	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed14.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed14_20260510-155824/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	14	OK	2026-05-10 16:06:25 +06	2026-05-10 16:07:45 +06	80	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed14.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed14_20260510-160628/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	14	OK	2026-05-10 16:07:45 +06	2026-05-10 16:12:06 +06	261	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed14.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed14_20260510-160748/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	15	OK	2026-05-10 16:12:06 +06	2026-05-10 16:14:17 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed15.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed15_20260510-161210/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	15	OK	2026-05-10 16:14:17 +06	2026-05-10 16:22:20 +06	483	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed15.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed15_20260510-161421/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	15	OK	2026-05-10 16:22:20 +06	2026-05-10 16:24:32 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed15.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed15_20260510-162222/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	15	OK	2026-05-10 16:24:32 +06	2026-05-10 16:32:37 +06	485	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed15.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed15_20260510-162435/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	15	OK	2026-05-10 16:32:37 +06	2026-05-10 16:33:57 +06	80	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed15.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed15_20260510-163239/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	15	OK	2026-05-10 16:33:57 +06	2026-05-10 16:38:19 +06	262	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed15.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed15_20260510-163400/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	16	OK	2026-05-10 16:38:19 +06	2026-05-10 16:40:30 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed16.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed16_20260510-163822/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	16	OK	2026-05-10 16:40:30 +06	2026-05-10 16:48:33 +06	483	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed16.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed16_20260510-164034/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	16	OK	2026-05-10 16:48:33 +06	2026-05-10 16:50:45 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed16.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed16_20260510-164835/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	16	OK	2026-05-10 16:50:45 +06	2026-05-10 16:58:50 +06	485	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed16.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed16_20260510-165048/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	16	OK	2026-05-10 16:58:50 +06	2026-05-10 17:00:10 +06	80	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed16.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed16_20260510-165852/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	16	OK	2026-05-10 17:00:10 +06	2026-05-10 17:04:31 +06	261	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed16.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed16_20260510-170013/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	17	OK	2026-05-10 17:04:31 +06	2026-05-10 17:06:42 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed17.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed17_20260510-170434/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	17	OK	2026-05-10 17:06:42 +06	2026-05-10 17:14:46 +06	484	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed17.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed17_20260510-170646/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	17	OK	2026-05-10 17:14:46 +06	2026-05-10 17:16:58 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed17.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed17_20260510-171448/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	17	OK	2026-05-10 17:16:58 +06	2026-05-10 17:25:03 +06	485	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed17.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed17_20260510-171701/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	17	OK	2026-05-10 17:25:03 +06	2026-05-10 17:26:23 +06	80	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed17.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed17_20260510-172505/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	17	OK	2026-05-10 17:26:23 +06	2026-05-10 17:30:45 +06	262	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed17.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed17_20260510-172626/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	18	OK	2026-05-10 17:30:45 +06	2026-05-10 17:32:56 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed18.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed18_20260510-173048/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	18	OK	2026-05-10 17:32:56 +06	2026-05-10 17:41:00 +06	484	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed18.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed18_20260510-173300/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	18	OK	2026-05-10 17:41:00 +06	2026-05-10 17:43:12 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed18.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed18_20260510-174102/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	18	OK	2026-05-10 17:43:12 +06	2026-05-10 17:51:18 +06	486	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed18.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed18_20260510-174315/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	18	OK	2026-05-10 17:51:18 +06	2026-05-10 17:52:37 +06	79	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed18.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed18_20260510-175120/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	18	OK	2026-05-10 17:52:37 +06	2026-05-10 17:56:59 +06	262	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed18.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed18_20260510-175240/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	19	OK	2026-05-10 17:56:59 +06	2026-05-10 17:59:10 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed19.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed19_20260510-175702/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	19	OK	2026-05-10 17:59:10 +06	2026-05-10 18:07:13 +06	483	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed19.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed19_20260510-175914/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	19	OK	2026-05-10 18:07:13 +06	2026-05-10 18:09:25 +06	132	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed19.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed19_20260510-180715/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	19	OK	2026-05-10 18:09:25 +06	2026-05-10 18:17:30 +06	485	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed19.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed19_20260510-180928/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	19	OK	2026-05-10 18:17:30 +06	2026-05-10 18:18:50 +06	80	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed19.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed19_20260510-181732/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	19	OK	2026-05-10 18:18:50 +06	2026-05-10 18:23:11 +06	261	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed19.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed19_20260510-181853/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	CIFAR100	20	OK	2026-05-10 18:23:11 +06	2026-05-10 18:25:22 +06	131	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_CIFAR100_seed20.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc/seed20_20260510-182314/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	20	OK	2026-05-10 18:25:22 +06	2026-05-10 18:33:25 +06	483	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_CIFAR100_seed20.log	experiments/clip_dino_only_20260510-100604/CIFAR100/bimc_dino_fusion/seed20_20260510-182526/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	miniimagenet	20	OK	2026-05-10 18:33:25 +06	2026-05-10 18:35:38 +06	133	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_miniimagenet_seed20.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc/seed20_20260510-183328/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	20	OK	2026-05-10 18:35:38 +06	2026-05-10 18:43:43 +06	485	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_miniimagenet_seed20.log	experiments/clip_dino_only_20260510-100604/miniimagenet/bimc_dino_fusion/seed20_20260510-183541/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
clip_visual_only	cub200	20	OK	2026-05-10 18:43:43 +06	2026-05-10 18:45:03 +06	80	experiments/clip_dino_only_20260510-100604/logs/clip_visual_only_cub200_seed20.log	experiments/clip_dino_only_20260510-100604/cub200/bimc/seed20_20260510-184345/results.json	branch=clip_visual_only,beta=0,ensemble=false,vision_calibration=false
dino_visual_only	cub200	20	OK	2026-05-10 18:45:03 +06	2026-05-10 18:49:24 +06	261	experiments/clip_dino_only_20260510-100604/logs/dino_visual_only_cub200_seed20.log	experiments/clip_dino_only_20260510-100604/cub200/bimc_dino_fusion/seed20_20260510-184506/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
